grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur
-1.0_131.0,-1.0,131.0,2021,8,4.86125,5.37,48.699999999999996,1
-1.0_131.0,-1.0,131.0,2022,1,4.9,4.9,10.0,1
-1.0_131.0,-1.0,131.0,2025,1,4.54,4.54,10.0,1
-1.0_132.0,-1.0,132.0,2015,1,4.67,4.67,10.0,1
-1.0_132.0,-1.0,132.0,2016,2,4.695,4.84,37.55,1
-1.0_132.0,-1.0,132.0,2017,2,4.64,4.72,28.55,1
-1.0_132.0,-1.0,132.0,2018,2,4.73,4.93,27.6,1
-1.0_132.0,-1.0,132.0,2019,1,4.82,4.82,20.6,1
-1.0_132.0,-1.0,132.0,2022,2,4.605,4.63,10.0,1
-1.0_132.0,-1.0,132.0,2023,1,4.92,4.92,10.0,1
-1.0_132.0,-1.0,132.0,2024,1,4.88,4.88,5.0,1
-1.0_133.0,-1.0,133.0,2015,2,4.665,4.73,31.75,1
-1.0_133.0,-1.0,133.0,2016,2,4.73,4.75,32.800000000000004,1
-1.0_133.0,-1.0,133.0,2017,1,4.67,4.67,18.1,1
-1.0_133.0,-1.0,133.0,2018,3,4.653333333333333,4.72,46.166666666666664,1
-1.0_133.0,-1.0,133.0,2019,3,5.206666666666666,5.84,23.666666666666668,1
-1.0_133.0,-1.0,133.0,2020,1,4.59,4.59,22.6,1
-1.0_133.0,-1.0,133.0,2021,2,4.855,5.05,10.0,1
-1.0_133.0,-1.0,133.0,2022,7,4.755714285714285,4.87,17.885714285714286,1
-1.0_133.0,-1.0,133.0,2023,2,4.895,4.97,15.5,1
-1.0_133.0,-1.0,133.0,2024,1,4.58,4.58,10.0,1
-1.0_134.0,-1.0,134.0,2017,1,4.64,4.64,10.0,1
-1.0_134.0,-1.0,134.0,2019,2,5.055,5.23,23.65,1
-1.0_134.0,-1.0,134.0,2020,2,4.73,4.73,16.15,1
-1.0_134.0,-1.0,134.0,2021,1,5.42,5.42,10.0,1
-1.0_134.0,-1.0,134.0,2024,1,4.88,4.88,10.0,1
-1.0_135.0,-1.0,135.0,2015,11,4.867272727272727,5.68,24.30909090909091,1
-1.0_135.0,-1.0,135.0,2017,1,4.67,4.67,23.6,1
-1.0_135.0,-1.0,135.0,2018,1,4.64,4.64,10.0,1
-1.0_135.0,-1.0,135.0,2021,2,4.63,4.63,10.0,1
-1.0_135.0,-1.0,135.0,2023,1,5.54,5.54,10.0,1
-1.0_137.0,-1.0,137.0,2018,2,4.74,4.88,12.7,1
-1.0_139.0,-1.0,139.0,2017,1,4.58,4.58,10.0,1
-1.0_95.0,-1.0,95.0,2021,2,4.74,4.74,10.0,1
-1.0_96.0,-1.0,96.0,2015,1,4.87,4.87,10.0,1
-1.0_96.0,-1.0,96.0,2016,1,4.84,4.84,10.0,1
-1.0_96.0,-1.0,96.0,2017,2,4.785,4.81,28.95,1
-1.0_96.0,-1.0,96.0,2018,1,5.13,5.13,10.0,1
-1.0_96.0,-1.0,96.0,2021,3,4.773333333333333,5.14,15.733333333333334,1
-1.0_96.0,-1.0,96.0,2022,2,4.595,4.68,10.0,1
-1.0_96.0,-1.0,96.0,2024,1,4.51,4.51,10.0,1
-1.0_97.0,-1.0,97.0,2016,1,4.5,4.5,20.1,1
-1.0_97.0,-1.0,97.0,2018,1,4.65,4.65,14.2,1
-1.0_97.0,-1.0,97.0,2019,3,4.783333333333334,4.98,16.400000000000002,1
-1.0_97.0,-1.0,97.0,2021,1,4.57,4.57,21.5,1
-1.0_97.0,-1.0,97.0,2022,5,4.904,5.22,20.880000000000003,1
-1.0_97.0,-1.0,97.0,2023,4,4.8225,5.03,24.05,1
-1.0_98.0,-1.0,98.0,2015,4,5.13,6.09,45.75,1
-1.0_98.0,-1.0,98.0,2019,4,4.9375,5.6,43.85,1
-1.0_98.0,-1.0,98.0,2020,4,4.88,5.24,128.675,1
-1.0_98.0,-1.0,98.0,2021,2,4.76,4.94,33.2,1
-1.0_98.0,-1.0,98.0,2022,9,5.2411111111111115,6.72,35.044444444444444,1
-1.0_98.0,-1.0,98.0,2023,11,5.016363636363637,5.72,27.854545454545452,1
-1.0_98.0,-1.0,98.0,2025,1,5.24,5.24,63.1,1
-1.0_99.0,-1.0,99.0,2016,1,4.99,4.99,61.9,1
-1.0_99.0,-1.0,99.0,2018,4,4.85,5.03,61.525000000000006,1
-1.0_99.0,-1.0,99.0,2019,3,4.8500000000000005,5.23,53.166666666666664,1
-1.0_99.0,-1.0,99.0,2020,3,4.930000000000001,5.28,13.266666666666666,1
-1.0_99.0,-1.0,99.0,2021,1,5.14,5.14,62.8,1
-1.0_99.0,-1.0,99.0,2024,3,4.8,4.89,35.53333333333333,1
-1.0_99.0,-1.0,99.0,2025,1,4.52,4.52,90.1,1
-10.0_101.0,-10.0,101.0,2020,1,5.55,5.55,10.0,1
-10.0_101.0,-10.0,101.0,2021,2,4.725,4.85,380.0,1
-10.0_102.0,-10.0,102.0,2020,2,5.984999999999999,6.25,10.0,1
-10.0_103.0,-10.0,103.0,2020,1,6.34,6.34,145.5,1
-10.0_103.0,-10.0,103.0,2021,1,5.78,5.78,220.6,1
-10.0_104.0,-10.0,104.0,2020,1,5.83,5.83,345.8,1
-10.0_105.0,-10.0,105.0,2020,3,5.4433333333333325,5.58,10.0,1
-10.0_105.0,-10.0,105.0,2021,1,5.62,5.62,10.0,1
-10.0_106.0,-10.0,106.0,2015,2,4.845000000000001,4.94,52.3,1
-10.0_106.0,-10.0,106.0,2016,1,4.94,4.94,17.9,1
-10.0_106.0,-10.0,106.0,2017,1,4.63,4.63,52.2,1
-10.0_106.0,-10.0,106.0,2019,3,5.1000000000000005,5.87,18.533333333333335,1
-10.0_106.0,-10.0,106.0,2020,3,5.146666666666667,5.62,167.43333333333334,1
